year,iso_code,country,economic_freedom,rank,quartile,gdp_growth
2012,PNG,Pap. New Guinea,6.91,78.0,3.0,8
2012,PRY,Paraguay,6.89,79.0,3.0,"-1,238968506"
2012,PER,Peru,7.57,23.0,1.0,"5,950591079"
2012,PHL,Philippines,7.27,53.0,2.0,"6,814540708"
2012,POL,Poland,7.32,48.0,2.0,"1,90508967"
2012,PRT,Portugal,7.31,50.0,2.0,"-3,230515395"
2012,QAT,Qatar,7.5,30.0,1.0,"2,56"
2012,ROU,Romania,7.47,32.0,1.0,"0,353678398"
2012,RUS,Russia,6.65,95.0,3.0,"3,435545439"
2012,RWA,Rwanda,7.32,48.0,2.0,"7,306292252"
2012,SAU,Saudi Arabia,6.42,107.0,3.0,"5,812"
2012,SEN,Senegal,5.9,132.0,4.0,"3,452902582"
2012,SRB,Serbia,6.55,102.0,3.0,"-1,523"
2012,SYC,Seychelles,,,,"2,8985"
2012,SLE,Sierra Leone,6.27,115.0,3.0,"15,22384741"
2012,SGP,Singapore,8.64,2.0,1.0,"2,503728581"
2012,SVK,Slovak Rep,7.38,38.0,1.0,"1,801305248"
2012,SVN,Slovenia,6.84,82.0,3.0,"-2,543068096"
2012,ZAF,South Africa,6.98,72.0,2.0,"2,466869494"
2012,ESP,Spain,7.35,42.0,2.0,"-1,641456256"
2012,LKA,Sri Lanka,6.73,88.0,3.0,"6,341361551"
2012,SDN,Sudan,,,,"-10,1"
2012,SUR,Suriname,6.64,96.0,3.0,"3,87776607"
2012,SWZ,Swaziland,6.44,105.0,3.0,"1,921178525"
2012,SWE,Sweden,7.48,31.0,1.0,"0,928175558"
2012,CHE,Switzerland,8.2,4.0,1.0,"1,049093458"
2012,SYR,Syria,5.27,142.0,4.0,
2012,TJK,Tajikistan,6.75,87.0,3.0,"7,5"
2012,TZA,Tanzania,6.62,98.0,3.0,"6,932988324"
2012,THA,Thailand,6.58,100.0,3.0,"7,667173799"
2012,TLS,Timor-Leste,6.69,91.0,3.0,"8,34049871"
2012,TGO,Togo,5.33,140.0,4.0,"5,91249112"
2012,TTO,Trinidad & Tob.,6.6,99.0,3.0,"1,521672127"
2012,TUN,Tunisia,6.4,108.0,3.0,"4,090155719"
2012,TUR,Turkey,6.99,71.0,2.0,"2,127460613"
2012,UGA,Uganda,7.28,52.0,2.0,"3,410515784"
2012,UKR,Ukraine,6.24,116.0,4.0,"0,2"
2012,ARE,Unit. Arab Em.,7.71,15.0,1.0,"4,365219161"
2012,GBR,United Kingdom,7.91,9.0,1.0,"0,277723044"
2012,USA,United States,7.88,10.0,1.0,"2,778958837"
2012,URY,Uruguay,7.34,44.0,2.0,"3,676367357"
2012,VEN,Venezuela,3.82,153.0,4.0,"5,626268533"
2012,VNM,Vietnam,6.4,108.0,3.0,"5,247367156"
2012,YEM,"Yemen, Rep.",6.17,122.0,4.0,"2,469878514"
2012,ZMB,Zambia,7.19,60.0,2.0,"7,269965278"
2012,ZWE,Zimbabwe,5.06,145.0,4.0,"5,317356805"
2011,ALB,Albania,7.24,52.0,2.0,3
2011,DZA,Algeria,5.06,147.0,4.0,"2,800018252"
2011,AGO,Angola,5.16,145.0,4.0,"3,91856683"
2011,ARG,Argentina,5.58,140.0,4.0,"8,554912747"
2011,ARM,Armenia,7.71,14.0,1.0,"4,7"
2011,AUS,Australia,8.01,6.0,1.0,"2,239286348"
2011,AUT,Austria,7.65,21.0,1.0,"2,834374766"
2011,AZE,Azerbaijan,6.15,125.0,4.0,"0,065922707"
2011,BHS,Bahamas,7.32,46.0,2.0,"1,659385056"
2011,BHR,Bahrain,7.49,30.0,1.0,"2,100022917"
2011,BGD,Bangladesh,6.34,111.0,3.0,"6,708097255"
2011,BLR,Belarus,,,,"5,543711461"
2011,BEL,Belgium,7.38,38.0,1.0,"1,754240931"
2011,BLZ,Belize,7.12,65.0,2.0,"1,330108827"
2011,BEN,Benin,6.0,129.0,4.0,"3,530698244"
2011,BTN,Bhutan,,,,"8,554492551"
2011,BOL,Bolivia,6.31,114.0,3.0,"5,173930422"
2011,BIH,Bosnia and Herzegovina,6.7,91.0,3.0,"1,299999976"
2011,BWA,Botswana,7.22,55.0,2.0,"6,182878224"
2011,BRA,Brazil,6.45,108.0,3.0,"2,732509243"
2011,BRN,Brunei Darussalam,6.92,77.0,3.0,"3,429818477"
2011,BGR,Bulgaria,7.37,40.0,2.0,"1,8"
2011,BFA,Burkina Faso,5.95,130.0,4.0,"4,210077721"
2011,BDI,Burundi,5.23,144.0,4.0,"4,191625678"
2011,KHM,Cambodia,6.98,72.0,2.0,"7,069569946"
2011,CMR,Cameroon,6.03,128.0,4.0,"4,102106866"
2011,CAN,Canada,7.95,7.0,1.0,"2,528184205"
2011,CPV,Cape Verde,6.53,105.0,3.0,"3,968783812"
2011,CAF,Central Afr. Rep.,5.06,147.0,4.0,"3,299960767"
2011,TCD,Chad,4.97,149.0,4.0,"0,082869799"
2011,CHL,Chile,7.91,8.0,1.0,"5,838935066"
2011,CHN,China,6.32,113.0,3.0,"9,299885"
2011,COL,Colombia,6.82,86.0,3.0,"6,589511516"
2011,COD,"Congo, Dem. R.",5.28,143.0,4.0,"6,864633367"
2011,COG,"Congo, Rep. Of",4.48,151.0,4.0,"3,420621271"
2011,CRI,Costa Rica,7.57,25.0,1.0,"4,510220598"
2011,CIV,Cote d'Ivoire,5.7,137.0,4.0,"-4,720846429"
