year,iso_code,country,economic_freedom,rank,quartile,gdp_growth,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,CHL,Chile,7.88,10.0,1.0,"4,074713728",7.0,10.0,7.0,8.028427669,7.021313367,5.416483479,6.636406625,7.5,7.5,5.109379145,9.066918247,8.80977322,6.053640916,0.897435897,6.653033775,8.56313578,7.869875515,9.641657853,10.0,9.018667287000001,9.468444444,7.218111311,10.0,6.486142458,8.293174553,9.226618588,5.288991503,7.678478963,7.398029685
2013,CHN,China,6.39,111.0,3.0,"7,671191",3.876470588,2.0,6.0,5.042687129,4.977376553,4.713308505,5.812530901000001,5.0,5.833333333,6.067809479,8.449994338,5.499891803,6.343013481,0.8918918920000001,5.538750882,9.983244271,8.599869372,9.473830979,5.0,8.264236156,8.110266667000001,6.340057415,10.0,2.5225743030000003,6.743224596,7.209214537,5.633053942,6.177178176,6.339815552
2013,COL,Colombia,6.67,94.0,3.0,"4,257140005",5.111764706000001,8.0,5.0,6.399849975,3.06846218,3.7225406239999996,4.770641988,3.333333333,3.333333333,2.089536013,9.040189726,5.073686563,2.8115783789999997,0.864864865,3.8585403119999997,8.716153514,9.202058743,9.59544501,5.0,8.128414317,8.015733333,6.548984901,10.0,5.667038861,7.557939274,9.173639334,6.092883785,6.894638167,7.387053762000001
2013,COD,"Congo, Dem. R.",5.36,145.0,4.0,"8,480836675",6.958823529,4.0,4.0,5.952308062,3.40610232,2.8,4.725693745,0.0,1.6666666669999999,0.9700585559999999,6.045676796,5.257818143,2.799172228,0.58974359,2.443894137,7.677274178999999,4.907180582,9.673414917999999,5.0,6.81446742,7.736888888999999,3.541725435,10.0,2.307452698,5.896516755,6.333333333,5.674673156,4.997604877,5.668537122
2013,COG,"Congo, Rep. Of",4.55,155.0,4.0,"3,440705249",4.970588235,0.0,3.0,4.46720087,,2.63424664,,0.0,3.333333333,3.011738204,3.960541938,,,0.7179487179999999,2.223001609,7.30529158,3.786170347,8.806214227,0.0,4.974419039,7.310222222,2.600473159,10.0,1.5436102580000002,5.36357641,6.2053177139999995,6.157673442,4.727844898,5.696945351
2013,CRI,Costa Rica,7.48,35.0,1.0,"3,497287451",5.352941176,10.0,6.5,7.591183645,6.73295796,4.8840080839999995,5.966561521,10.0,5.0,3.523501568,8.523296281,6.5882973410000005,5.001558327,0.864864865,5.824613355,9.265752336,9.065373603,8.955142826,10.0,9.321567191,8.001155556,6.450100107999999,10.0,7.933025525,8.096070297,6.858702318,6.143361118,6.770706372,6.590923269
2013,CIV,Cote d'Ivoire,5.9,136.0,4.0,"8,699",6.808823529,4.0,2.0,5.664004106,3.710047341,4.422963966,4.221965972,3.3,4.166666667,3.974267539,6.277394997000001,4.662575648,3.910985629,0.9189189190000001,4.120011428,8.623861401000001,9.305287822,9.486314497999999,0.0,6.85386593,6.497822222000001,5.717968578,10.0,3.14390655,6.339924337999999,8.818959595,5.464781975,5.318071358,6.533937643
2013,HRV,Croatia,6.9,81.0,3.0,-1,4.470588235,8.0,2.0,4.732390173,3.592469187,2.182410979,4.65497037,8.333333332999999,7.5,5.315294425,6.9956987139999995,5.739893687,7.045819357999999,0.9459459459999999,5.5524205460000005,7.897931773,9.594357361,9.558707644,10.0,9.262749194,8.280888889,6.984300227,10.0,5.443169407,7.677089631,9.055441829,6.614389374,6.161479961,7.2771037210000005
2013,CYP,Cyprus,7.07,70.0,2.0,"-5,4",5.5306938379999995,10.0,6.5,7.062361938,5.774166869,5.067873196,5.5480381020000005,8.333333332999999,8.333333332999999,4.003515462,6.430209232,6.200821672999999,7.787614712000001,0.897435897,6.059029968,9.819803815,9.403859628,9.919989388,0.0,7.285913207999999,8.252,7.990559159,10.0,4.538943563,7.695375681,8.43867532,6.131974245,7.146704653,7.239118072999999
2013,CZE,Czech Rep.,7.37,42.0,2.0,"-0,934134169",3.244117647,10.0,7.0,5.814569445,4.77980658,3.311060952,5.005646788,10.0,8.333333332999999,3.85475774,8.231573351,5.11482934,6.391011512,0.9189189190000001,5.865710797999999,8.92664792,9.337669179,9.71305468,10.0,9.494342944,8.252,6.63452813,10.0,5.953565179,7.710023327,9.551417359,8.126331456,6.2775086270000005,7.985085814
2013,DNK,Denmark,7.68,18.0,1.0,"0,417078759",1.3529411759999999,7.0,2.5,3.8097704980000002,9.190282867,5.565923183,7.829906451,10.0,10.0,5.958963649,9.727176307999999,8.404182032000001,6.124447458,1.0,8.088986882999999,9.781137155,9.443508889,9.843477136,10.0,9.767030795,8.252,7.625541554,10.0,7.384108873,8.315412607,9.946440217000001,7.339570926,8.00448214,8.430164428
2013,DOM,Dominican Rep.,7.24,57.0,2.0,"4,064492974",8.411764706,6.0,8.0,7.91878611,2.477352502,4.062031706,4.709793706,5.0,4.166666667,4.512744275,7.81990731,2.604562999,3.87116459,1.0,4.358247083999999,9.589497032999999,9.33189447,9.033809807,10.0,9.488800327,7.965866667,7.015772427000001,10.0,6.687389100000001,7.917257048,7.300647948,6.40058561,5.8910814060000005,6.530771655
2013,ECU,Ecuador,5.88,137.0,4.0,4,6.188235294,0.0,5.5,5.319878987,2.29885623,3.636365806,4.714014968,2.5,4.166666667,4.380510817,8.638378387000001,2.2215603969999997,3.69616173,0.864864865,3.7558911939999997,8.421304353,9.3116016,9.452273649,0.0,6.7962949,6.595511111,5.785342827999999,10.0,6.44292822,7.20594554,9.268666667,4.699911561,5.056863948999999,6.341814059
